2022-04-04 02:55:31,574 - INFO - mtx_name: ibm32.mtx, num_nodes: 32, num_threads: 4, num_loop: 100, num_nectars:25, limit: 10, dp_result: 8, greedy_result:9, abc_result: 9
2022-04-04 02:55:33,561 - INFO - mtx_name: jgl009.mtx, num_nodes: 9, num_threads: 3, num_loop: 100, num_nectars:25, limit: 10, dp_result: 3, greedy_result:3, abc_result: 3
2022-04-04 03:01:49,173 - INFO - mtx_name: 225-pde225.mtx, num_nodes: 225, num_threads: 7, num_loop: 112, num_nectars:29, limit: 10, dp_result: 29, greedy_result:44, abc_result: 39
2022-04-04 03:06:42,556 - INFO - mtx_name: 398-bfwb398.mtx, num_nodes: 398, num_threads: 8, num_loop: 199, num_nectars:50, limit: 10, dp_result: 44, greedy_result:57, abc_result: 57
2022-04-04 03:11:09,918 - INFO - mtx_name: 225-pde225.mtx, num_nodes: 225, num_threads: 7, num_loop: 112, num_nectars:29, limit: 10, dp_result: 29, greedy_result:44, abc_result: 39
2022-04-04 03:16:09,123 - INFO - mtx_name: 398-bfwb398.mtx, num_nodes: 398, num_threads: 8, num_loop: 199, num_nectars:50, limit: 10, dp_result: 44, greedy_result:57, abc_result: 57
2022-04-04 03:34:40,810 - INFO - mtx_name: 592-dwt_592.mtx, num_nodes: 592, num_threads: 9, num_loop: 296, num_nectars:75, limit: 10, dp_result: 62, greedy_result:89, abc_result: 75
2022-04-04 03:54:17,805 - INFO - mtx_name: 685_bus.mtx, num_nodes: 685, num_threads: 9, num_loop: 342, num_nectars:86, limit: 10, dp_result: 31, greedy_result:77, abc_result: 81
2022-04-04 03:56:45,543 - INFO - mtx_name: ash292.mtx, num_nodes: 292, num_threads: 7, num_loop: 146, num_nectars:37, limit: 10, dp_result: 103, greedy_result:110, abc_result: 103
2022-04-04 03:56:56,280 - INFO - mtx_name: bcspwr02.mtx, num_nodes: 49, num_threads: 4, num_loop: 100, num_nectars:25, limit: 10, dp_result: 8, greedy_result:13, abc_result: 13
2022-04-04 04:05:10,838 - INFO - mtx_name: bcsstk06.mtx, num_nodes: 420, num_threads: 8, num_loop: 210, num_nectars:53, limit: 10, dp_result: 88, greedy_result:91, abc_result: 88
2022-04-04 06:08:29,228 - INFO - mtx_name: bcsstk08.mtx, num_nodes: 1074, num_threads: 11, num_loop: 537, num_nectars:135, limit: 10, dp_result: 78, greedy_result:104, abc_result: 109
2022-04-04 06:08:38,596 - INFO - mtx_name: chesapeake_39.mtx, num_nodes: 39, num_threads: 4, num_loop: 100, num_nectars:25, limit: 10, dp_result: 8, greedy_result:11, abc_result: 10
2022-04-04 06:08:42,667 - INFO - mtx_name: GD01_b.mtx, num_nodes: 18, num_threads: 3, num_loop: 100, num_nectars:25, limit: 10, dp_result: 11, greedy_result:11, abc_result: 11
2022-04-04 06:08:50,723 - INFO - mtx_name: jgl009.mtx, num_nodes: 9, num_threads: 3, num_loop: 100, num_nectars:25, limit: 10, dp_result: 3, greedy_result:3, abc_result: 3
2022-04-04 06:08:56,817 - INFO - mtx_name: lap_25.mtx, num_nodes: 25, num_threads: 3, num_loop: 100, num_nectars:25, limit: 10, dp_result: 13, greedy_result:13, abc_result: 13
2022-04-04 09:05:04,077 - INFO - mtx_name: 2132-blckhole.mtx, num_nodes: 2132, num_threads: 5, num_loop: 300, num_nectars:40, limit: 10, dp_result: 151, greedy_result:434, abc_result: 432
2022-04-04 12:22:54,232 - INFO - mtx_name: 2132-blckhole.mtx, num_nodes: 2132, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 151, greedy_result:237, abc_result: 228
2022-04-04 12:35:13,119 - INFO - mtx_name: 10974-bcsstk17.mtx, num_nodes: 10974, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 1332, greedy_result:1581, abc_result: None
2022-04-04 13:05:02,205 - INFO - mtx_name: 120750-twotone.mtx, num_nodes: 120750, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 1314, greedy_result:12075, abc_result: None
2022-04-04 13:05:10,936 - INFO - mtx_name: 2132-blckhole.mtx, num_nodes: 2132, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 151, greedy_result:237, abc_result: None
2022-04-04 13:05:17,512 - INFO - mtx_name: 2873-zenios.mtx, num_nodes: 1947, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 96, greedy_result:195, abc_result: None
2022-04-04 13:11:05,500 - INFO - mtx_name: 28924-bcsstk30.mtx, num_nodes: 28924, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 5513, greedy_result:5517, abc_result: None
2022-04-04 13:11:18,599 - INFO - mtx_name: 3937-lns_3937.mtx, num_nodes: 3937, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 65, greedy_result:394, abc_result: None
2022-04-04 13:11:41,944 - INFO - mtx_name: 3948-bcsstk15.mtx, num_nodes: 3948, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 365, greedy_result:437, abc_result: None
2022-04-04 13:19:17,874 - INFO - mtx_name: 44609-bcsstk32.mtx, num_nodes: 44609, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 2951, greedy_result:4920, abc_result: None
2022-04-04 13:19:35,376 - INFO - mtx_name: 5300-bcspwr10.mtx, num_nodes: 5300, num_threads: 10, num_loop: 300, num_nectars:50, limit: 10, dp_result: 11, greedy_result:530, abc_result: None
2022-04-04 13:34:06,651 - INFO - mtx_name: 1086-bcsstk10.mtx, num_nodes: 1086, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 230, greedy_result:365, abc_result: None, greedy_time:0.019948482513427734
2022-04-04 13:34:36,953 - INFO - mtx_name: 10974-bcsstk17.mtx, num_nodes: 10974, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 1332, greedy_result:3658, abc_result: None, greedy_time:2.2382054328918457
2022-04-04 13:52:28,591 - INFO - mtx_name: 120750-twotone.mtx, num_nodes: 120750, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 1314, greedy_result:40250, abc_result: None, greedy_time:420.3796260356903
2022-04-04 13:52:31,938 - INFO - mtx_name: 2132-blckhole.mtx, num_nodes: 2132, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 151, greedy_result:711, abc_result: None, greedy_time:0.07582998275756836
2022-04-04 13:52:34,441 - INFO - mtx_name: 2873-zenios.mtx, num_nodes: 1947, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 96, greedy_result:649, abc_result: None, greedy_time:0.13065004348754883
2022-04-04 13:54:57,731 - INFO - mtx_name: 28924-bcsstk30.mtx, num_nodes: 28924, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 5513, greedy_result:9832, abc_result: None, greedy_time:14.007202386856079
2022-04-04 13:55:04,027 - INFO - mtx_name: 3937-lns_3937.mtx, num_nodes: 3937, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 65, greedy_result:1313, abc_result: None, greedy_time:0.4033071994781494
2022-04-04 13:55:12,156 - INFO - mtx_name: 3948-bcsstk15.mtx, num_nodes: 3948, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 365, greedy_result:1319, abc_result: None, greedy_time:0.25736284255981445
2022-04-04 13:58:40,140 - INFO - mtx_name: 44609-bcsstk32.mtx, num_nodes: 44609, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 2951, greedy_result:14870, abc_result: None, greedy_time:35.09226632118225
2022-04-04 13:58:49,043 - INFO - mtx_name: 5300-bcspwr10.mtx, num_nodes: 5300, num_threads: 3, num_loop: 100, num_nectars:20, limit: 10, dp_result: 11, greedy_result:1767, abc_result: None, greedy_time:0.927746057510376
2022-04-04 14:46:20,341 - INFO - mtx_name: 113_gent113.mtx, num_nodes: 113, num_threads: 4, num_loop: 200, num_nectars:20, limit: 10, dp_result: 4, greedy_result:29, abc_result: 29, greedy_time:0.0
2022-04-04 14:46:52,333 - INFO - mtx_name: 138_bcsstk22.mtx, num_nodes: 138, num_threads: 4, num_loop: 200, num_nectars:20, limit: 10, dp_result: 26, greedy_result:35, abc_result: 35, greedy_time:0.0009946823120117188
2022-04-04 14:47:47,588 - INFO - mtx_name: 144_can_144.mtx, num_nodes: 144, num_threads: 4, num_loop: 200, num_nectars:20, limit: 10, dp_result: 109, greedy_result:109, abc_result: 109, greedy_time:0.0010192394256591797
2022-04-04 14:48:57,561 - INFO - mtx_name: 153_bcsstk05.mtx, num_nodes: 153, num_threads: 4, num_loop: 200, num_nectars:20, limit: 10, dp_result: 59, greedy_result:59, abc_result: 59, greedy_time:0.0
2022-04-04 14:49:58,124 - INFO - mtx_name: 161_can_161.mtx, num_nodes: 161, num_threads: 4, num_loop: 200, num_nectars:20, limit: 10, dp_result: 113, greedy_result:113, abc_result: 113, greedy_time:0.0009789466857910156
2022-04-04 14:50:42,503 - INFO - mtx_name: 162_dwt_162.mtx, num_nodes: 162, num_threads: 4, num_loop: 200, num_nectars:20, limit: 10, dp_result: 51, greedy_result:54, abc_result: 53, greedy_time:0.0
2022-04-04 14:55:26,055 - INFO - mtx_name: 822_bp_600.mtx, num_nodes: 822, num_threads: 4, num_loop: 200, num_nectars:20, limit: 10, dp_result: 10, greedy_result:206, abc_result: 206, greedy_time:0.017950773239135742
2022-04-04 14:56:02,026 - INFO - mtx_name: 96_can_96.mtx, num_nodes: 96, num_threads: 4, num_loop: 200, num_nectars:20, limit: 10, dp_result: 96, greedy_result:96, abc_result: 96, greedy_time:0.0009968280792236328
2022-04-04 14:59:10,725 - INFO - mtx_name: 113_gent113.mtx, num_nodes: 113, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 4, greedy_result:57, abc_result: 57, greedy_time:0.00099945068359375
2022-04-04 14:59:28,113 - INFO - mtx_name: 138_bcsstk22.mtx, num_nodes: 138, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 26, greedy_result:69, abc_result: 69, greedy_time:0.0009732246398925781
2022-04-04 14:59:54,830 - INFO - mtx_name: 144_can_144.mtx, num_nodes: 144, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 109, greedy_result:109, abc_result: 109, greedy_time:0.0009980201721191406
2022-04-04 15:00:25,824 - INFO - mtx_name: 153_bcsstk05.mtx, num_nodes: 153, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 59, greedy_result:81, abc_result: 78, greedy_time:0.0020294189453125
2022-04-04 15:01:01,466 - INFO - mtx_name: 161_can_161.mtx, num_nodes: 161, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 113, greedy_result:113, abc_result: 113, greedy_time:0.0019392967224121094
